%Stretch1, Stretch2, Sigma, Sigma_min_mean, Sigma_max_mean, ElEdge_min, ElEdge_max, ElEdge_mean, ElDetJ_min_mean, ElDetJ_max_mean, Stretch_max, Stretch_min, Stretch_mean, Diag_max, Diag_min, Diag_mean, Taper_max, Taper_min, Taper_mean, Skew_max, Skew_min, Skew_mean, dist_lapl_max, dist_lapl_min, dist_lapl_mean, _DROP_TOL_, Iters, Op_Complex, Smoo_Complex, SolveTime, CostEst
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.1,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.075,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.001,43,1.04,1.07,30.83,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.05,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.025,45,1.05,1.09,31.3,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.01,43,1.04,1.07,42.24,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0.005,43,1.04,1.07,37.9,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,1,0.740639,0.855871,1,1,1,1,1,1,0,0,0,0.266808,0.0202541,0.0379354,0,42,1.03,1.07,44.24,1
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.075,-1,-1,-1,-1,-1
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.025,38,1.31,1.36,34.46,1
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.005,72,1.23,1.28,52.63,0
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0,189,1.03,1.07,278,0
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.05,-1,-1,-1,-1,-1
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.1,-1,-1,-1,-1,-1
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.001,137,1.16,1.2,172.2,0
28.07,85.32,1e0,1,1,1,85.32,46.1462,0.00159406,3.81766,1,0.0192826,0.0801288,1,1,1,1,1,1,0,0,0,0.705219,2.28795e-05,0.0378811,0.01,61,1.28,1.33,55.84,0
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.075,-1,-1,-1,-1,-1
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0.025,30,1.32,1.37,19.1,1
38.57,52.98,1e0,1,1,1,52.98,33.2326,0.00187267,3.82668,1,0.0264273,0.0858347,1,1,1,1,1,1,0,0,0,0.70555,5.92718e-05,0.037881,0,156,1.03,1.07,156,0
